2026-04-14 11:12:13,408 | INFO | rag.ingestion.readers | PyPDFLoader extracted 10538 chars from 1291_QNG_NVDTPC_2026_TinhQuangNgai_Vv_Tuyen_truyen_Nghi_dinh_373_2025_ND_CP.pdf
2026-04-14 11:12:13,411 | INFO | rag.ingestion.indexing | [BUILD] data\1291_QNG_NVDTPC_2026_TinhQuangNgai_Vv_Tuyen_truyen_Nghi_dinh_373_2025_ND_CP.pdf -> 12 chunks
2026-04-14 11:12:13,634 | INFO | rag.ingestion.readers | PyPDFLoader extracted 3930 chars from 1696_CT_CS_2026_Vv_Gioi_thieu_Thong_tu_21_2026_TT_BTC.pdf
2026-04-14 11:12:13,635 | INFO | rag.ingestion.indexing | [BUILD] data\1696_CT_CS_2026_Vv_Gioi_thieu_Thong_tu_21_2026_TT_BTC.pdf -> 5 chunks
2026-04-14 11:12:13,799 | INFO | rag.ingestion.readers | PyPDFLoader extracted 1586 chars from 1832_CT_CS_2026_Vv_Chinh_sach_thue.pdf
2026-04-14 11:12:13,801 | INFO | rag.ingestion.indexing | [BUILD] data\1832_CT_CS_2026_Vv_Chinh_sach_thue.pdf -> 2 chunks
2026-04-14 11:12:16,993 | INFO | rag.ingestion.readers | PyPDFLoader extracted 61750 chars from 18_2026_TT_BTC_Vv_Quy_dinh_ve_ho_so_thu_tuc_quan_ly_thue_doi_voi_ho_kinh_doanh_ca_nhan_kinh_doanh.pdf
2026-04-14 11:12:16,998 | INFO | rag.ingestion.indexing | [BUILD] data\18_2026_TT_BTC_Vv_Quy_dinh_ve_ho_so_thu_tuc_quan_ly_thue_doi_voi_ho_kinh_doanh_ca_nhan_kinh_doanh.pdf -> 88 chunks
2026-04-14 11:12:17,504 | INFO | rag.ingestion.readers | PyPDFLoader extracted 16719 chars from 21_2026_TT_BT__Vv_Sua_doi_Thong_tu_80_2021_TT_BTC_huong_dan_Luat_Quan_ly_thue_va_Nghi_dinh_126_2020_ND_CP_huong_dan_Luat_Quan_ly_thue.pdf
2026-04-14 11:12:17,505 | INFO | rag.ingestion.indexing | [BUILD] data\21_2026_TT_BT__Vv_Sua_doi_Thong_tu_80_2021_TT_BTC_huong_dan_Luat_Quan_ly_thue_va_Nghi_dinh_126_2020_ND_CP_huong_dan_Luat_Quan_ly_thue.pdf -> 22 chunks
2026-04-14 11:12:17,787 | INFO | rag.ingestion.readers | PyPDFLoader extracted 4856 chars from 241_SLA_QLDN_2026_TinhSonLa_Vv_Khai_thue_nop_thue_thay_cho_ho_kinh_doanh.pdf
2026-04-14 11:12:17,788 | INFO | rag.ingestion.indexing | [BUILD] data\241_SLA_QLDN_2026_TinhSonLa_Vv_Khai_thue_nop_thue_thay_cho_ho_kinh_doanh.pdf -> 8 chunks
2026-04-14 11:12:18,262 | INFO | rag.ingestion.readers | PyPDFLoader extracted 10823 chars from 320_QD_UBND_2026_TinhNinhBinh_Vv_Cong_bo_Danh_muc_thu_tuc_hanh_chinh_moi_sua_doi_bo_sung_bai_bo_linh_vuc_Thue_thuoc_pham_vi_chuc_nang_quan_ly_cua_So.pdf
2026-04-14 11:12:18,265 | INFO | rag.ingestion.indexing | [BUILD] data\320_QD_UBND_2026_TinhNinhBinh_Vv_Cong_bo_Danh_muc_thu_tuc_hanh_chinh_moi_sua_doi_bo_sung_bai_bo_linh_vuc_Thue_thuoc_pham_vi_chuc_nang_quan_ly_cua_So.pdf -> 15 chunks
2026-04-14 11:12:18,568 | INFO | rag.ingestion.readers | PyPDFLoader extracted 9441 chars from 336_QD_CT_2026_Vv_Quy_dinh_chuc_nang_nhiem_vu_quyen_han_va_co_cau_to_chuc_cua_Chi_cuc_Thue_doanh_nghiep_lon_thuoc_Cuc_Thue.pdf
2026-04-14 11:12:18,569 | INFO | rag.ingestion.indexing | [BUILD] data\336_QD_CT_2026_Vv_Quy_dinh_chuc_nang_nhiem_vu_quyen_han_va_co_cau_to_chuc_cua_Chi_cuc_Thue_doanh_nghiep_lon_thuoc_Cuc_Thue.pdf -> 13 chunks
2026-04-14 11:12:18,797 | INFO | rag.ingestion.readers | PyPDFLoader extracted 3924 chars from 661_KHH_QLDN1_2026_TinhKhanhHoa_Vv_Tra_loi_cong_van_0126_CVKN_LDYKH.pdf
2026-04-14 11:12:18,797 | INFO | rag.ingestion.indexing | [BUILD] data\661_KHH_QLDN1_2026_TinhKhanhHoa_Vv_Tra_loi_cong_van_0126_CVKN_LDYKH.pdf -> 5 chunks
2026-04-14 11:12:18,924 | INFO | rag.ingestion.readers | PyPDFLoader extracted 1729 chars from 869_DTH_NVD_2026_TinhDongThap_Vv_Trien_khai_Quyet_dinh_108_QD_CT_ve_Chuong_trinh_khung_cap_nhat_kien_thuc_hanh_nghe_dich_vu_lam_thu_tuc_ve_thue_nam_2026.pdf
2026-04-14 11:12:18,924 | INFO | rag.ingestion.indexing | [BUILD] data\869_DTH_NVD_2026_TinhDongThap_Vv_Trien_khai_Quyet_dinh_108_QD_CT_ve_Chuong_trinh_khung_cap_nhat_kien_thuc_hanh_nghe_dich_vu_lam_thu_tuc_ve_thue_nam_2026.pdf -> 2 chunks
